Day_,hour_,House_overall_kW,Dishwasher_kW,Furnace_kW,Home_office_kW,Fridge_kW,Garage_door_kW,Kitchen_kW,Microwave_kW,Living_room_kW,Solar_kW,temperature,humidity,visibility,pressure,windSpeed
141,16,0.39037,0.00091,0.02014,0.03489,0.08211,0.0128,0.00055,0.00397,0.00151,0.1298,83.83867,0.27267,10,1015.408,10.71633
141,17,0.40816,0.00027,0.02012,0.03489,0.06778,0.01283,0.00059,0.00392,0.00141,0.04975,85.26667,0.24533,10,1015.18133,11.37133
141,18,0.35207,0.00028,0.02,0.03486,0.0511,0.01281,0.00062,0.00403,0.00157,0.01436,85.69,0.245,10,1015.005,11.105
141,19,0.47871,0.00027,0.02002,0.03655,0.1165,0.01281,0.00047,0.0041,0.00174,0.00346,85.02,0.266,10,1015.122,10.21467
141,20,0.49769,0.00027,0.02021,0.03682,0.1299,0.01292,0.00044,0.00412,0.00177,0.00354,83.304,0.30833,10,1015.305,9.485
141,21,0.72566,0.00026,0.02038,0.03682,0.24452,0.01291,0.00055,0.00415,0.0018,0.00352,81.322,0.348,9.928,1015.574,8.402
141,22,0.49296,0.00026,0.02068,0.03696,0.10081,0.01312,0.00053,0.00417,0.00182,0.00355,78.20867,0.39167,9.88,1015.79867,6.32133
141,23,0.35382,0.00027,0.02063,0.03695,0.02757,0.01312,0.00068,0.00401,0.0016,0.00356,72.96333,0.49,9.96,1015.99667,5.49667
142,0,0.52935,0.00026,0.02072,0.03693,0.09476,0.01309,0.00054,0.004,0.00166,0.00321,69.7,0.579,10,1016.406,6.126
142,1,0.41973,0.00027,0.02069,0.03688,0.06845,0.01315,0.00059,0.004,0.00168,0.0032,66.73933,0.65867,10,1016.792,5.15867
142,2,0.38808,0.00026,0.02079,0.03687,0.04656,0.01319,0.00064,0.004,0.00167,0.00318,64.45933,0.703,9.931,1016.97967,4.36267
142,3,0.44659,0.00026,0.0208,0.03685,0.10033,0.0132,0.00052,0.004,0.00168,0.00315,62.846,0.742,9.91,1016.954,3.188
142,4,0.36994,0.00027,0.02093,0.03589,0.03102,0.01326,0.00068,0.00398,0.00156,0.00278,60.26667,0.81667,9.37667,1017.00667,4.495
142,5,0.4033,0.00028,0.02076,0.03489,0.07404,0.01317,0.00058,0.00413,0.00169,0.013,59.22067,0.83,9.036,1017.26267,3.49267
142,6,0.36449,0.00028,0.02062,0.03485,0.06679,0.01309,0.00059,0.00417,0.00175,0.03709,57.933,0.857,8.712,1017.678,2.876
142,7,0.29886,0.00028,0.02046,0.03491,0.01079,0.01296,0.00071,0.00413,0.00169,0.11755,56.77333,0.87867,7.55067,1018.32667,1.02867
142,8,0.31653,0.00028,0.0203,0.03489,0.06892,0.01289,0.00057,0.0041,0.00172,0.16263,56.73867,0.88967,6.92867,1018.88233,1.132
142,9,0.28211,0.00028,0.03892,0.03482,0.06754,0.01289,0.00057,0.00398,0.00152,0.13701,61.307,0.82667,9.138,1019.27333,1.61567
142,10,0.26079,0.00027,0.02029,0.03489,0.00785,0.01289,0.00072,0.00399,0.00158,0.13822,66.53333,0.72133,9.95333,1019.64933,4.36
142,11,0.26228,0.00028,0.02034,0.03487,0.06647,0.01299,0.00058,0.00399,0.00157,0.14494,72.317,0.594,10,1019.45,7.294
142,12,0.23008,0.00028,0.02011,0.03484,0.06888,0.01288,0.00056,0.00399,0.00154,0.17925,76.554,0.53067,10,1018.95067,1.02133
142,13,0.12962,0.00029,0.02018,0.03487,0.01114,0.01291,0.0007,0.004,0.00158,0.1909,80.225,0.46333,9.96167,1018.57167,2.12
142,14,0.30594,0.00028,0.02022,0.03486,0.06368,0.01293,0.00059,0.00398,0.00154,0.09685,83.27,0.422,9.816,1018.158,4.772
142,15,0.45254,0.00027,0.02032,0.03493,0.06976,0.01289,0.00059,0.00398,0.00153,0.0662,85.21133,0.383,9.98833,1017.544,4.80367
142,16,0.28781,0.00028,0.02026,0.03489,0.01365,0.01294,0.00071,0.00397,0.00152,0.05227,86.17133,0.35733,9.96333,1017.01533,7.35
142,17,0.36556,0.00028,0.02022,0.03482,0.06172,0.01293,0.00059,0.00392,0.00145,0.03504,86.333,0.347,9.961,1016.661,6.835
142,18,0.47919,0.00027,0.02022,0.03505,0.0693,0.01284,0.00058,0.00395,0.00157,0.01084,86.18667,0.34,9.91333,1016.55333,7.19
142,19,0.33407,0.00027,0.0201,0.03669,0.01809,0.01286,0.00068,0.00391,0.00152,0.00354,85.901,0.34733,10,1016.44667,8.16933
142,20,0.40275,0.00027,0.0202,0.03686,0.05677,0.01291,0.00059,0.00396,0.00161,0.00324,83.962,0.38,10,1016.36,7.686
142,21,0.41818,0.00027,0.02046,0.03685,0.06998,0.01305,0.00057,0.00398,0.0016,0.00327,80.84667,0.44033,9.96533,1016.42,7.38667
142,22,0.34687,0.00026,0.02067,0.03689,0.01748,0.01315,0.0007,0.00396,0.00164,0.00333,76.75733,0.522,9.89667,1016.57867,6.84867
142,23,0.39536,0.00027,0.02073,0.03687,0.05703,0.01318,0.00061,0.00393,0.00146,0.00361,73.535,0.58,9.88,1017.03,6.24
143,0,0.44348,0.00026,0.02079,0.03687,0.06948,0.01318,0.00059,0.00412,0.00176,0.00354,71.182,0.61667,9.906,1017.476,5.354
143,1,0.45554,0.00025,0.02092,0.03692,0.01014,0.01317,0.00073,0.00421,0.00182,0.00348,69.253,0.65133,9.96533,1017.62433,4.07467
143,2,0.41147,0.00027,0.02085,0.03685,0.06423,0.01322,0.0006,0.00421,0.0018,0.00349,68.18,0.666,9.94,1017.506,4.492
143,3,0.43571,0.00026,0.04074,0.03684,0.06738,0.0132,0.00059,0.00419,0.0018,0.00348,67.18667,0.67633,9.77333,1017.525,4.24033
143,4,0.3336,0.00027,0.02079,0.03652,0.00633,0.0132,0.00073,0.00419,0.00181,0.00332,65.86,0.69333,9.69333,1017.62667,2.91667
143,5,0.38208,0.00028,0.0206,0.03506,0.06786,0.01311,0.00058,0.00398,0.00151,0.01471,64.26,0.735,9.795,1017.692,2.321
143,6,0.35461,0.00028,0.02045,0.03485,0.05627,0.01303,0.0006,0.004,0.00162,0.03825,63.01,0.77933,9.796,1017.67333,0.818
143,7,0.27027,0.00028,0.02015,0.03481,0.01719,0.01288,0.00068,0.00399,0.00163,0.06004,63.06733,0.78233,9.412,1017.87467,1.58567
143,8,0.35952,0.00027,0.01992,0.03481,0.06538,0.0127,0.00057,0.00399,0.00159,0.06637,64.09,0.772,9.38,1017.892,2.572
143,9,0.32611,0.00028,0.02014,0.03489,0.05361,0.01283,0.00061,0.00399,0.00159,0.09123,67.66167,0.695,9.725,1018.055,2.06167
143,10,0.13818,0.00028,0.02015,0.03489,0.01651,0.0129,0.00069,0.00394,0.0015,0.14681,71.06,0.628,9.868,1018.02067,2.31133
143,11,0.1956,0.00029,0.01999,0.03488,0.06601,0.01282,0.00056,0.00401,0.00161,0.17089,74.558,0.584,9.844,1017.821,3.486
143,12,0.09565,0.00029,0.01973,0.03481,0.05067,0.01268,0.00058,0.00403,0.00164,0.27249,78.24133,0.54267,9.91467,1017.59467,3.274
143,13,0.08585,0.00028,0.02014,0.03491,0.02006,0.01288,0.00068,0.00413,0.00185,0.33253,80.84833,0.52067,9.99733,1017.377,6.846
143,14,0.21939,0.00027,0.02008,0.03489,0.06836,0.01277,0.00057,0.00409,0.00224,0.26738,82.721,0.50933,9.91867,1017.12033,6.85033
143,15,0.18722,0.00028,0.01974,0.03483,0.04289,0.01269,0.00061,0.00405,0.00165,0.15839,84.522,0.49067,9.88267,1016.51533,9.81533
143,16,0.2267,0.00028,0.02005,0.03492,0.03219,0.01282,0.00066,0.004,0.00154,0.11723,85.064,0.497,9.92,1015.996,10.799
143,17,0.4161,0.00025,0.01982,0.03484,0.07217,0.01882,0.00056,0.00397,0.00159,0.03688,85.54067,0.47933,9.87467,1015.67133,12.49067
143,18,0.49398,1e-05,0.04147,0.03523,0.04732,0.01633,0.00062,0.00398,0.00164,0.01275,82.66333,0.55167,9.44167,1015.625,10.97
143,19,0.90799,1e-05,0.05833,0.03676,0.05126,0.0126,0.00058,0.00404,0.00157,0.00302,79.966,0.618,8.818,1015.968,9.462
143,20,0.99435,1e-05,0.04225,0.37146,0.09752,0.01295,0.00058,0.00401,0.00161,0.00308,78.23167,0.657,9.041,1015.84467,8.88933
143,21,0.52778,0,0.02054,0.11816,0.01327,0.01312,0.0007,0.004,0.00165,0.0032,75.88933,0.69067,9.17867,1015.96133,7.51667
143,22,0.46133,0,0.02059,0.04107,0.07384,0.01313,0.00056,0.00395,0.0016,0.00332,73.284,0.726,10,1016.414,6.559
143,23,0.43473,0,0.02059,0.04104,0.0583,0.01312,0.0006,0.00417,0.00167,0.00351,71.58,0.75333,9.91333,1016.85667,5.56
144,0,0.39667,0,0.02071,0.04108,0.02519,0.01318,0.00068,0.00417,0.00171,0.0035,69.99633,0.78367,9.71433,1017.05833,5.05133
144,1,0.45775,0,0.02062,0.04103,0.0766,0.01313,0.00056,0.00416,0.00171,0.00348,68.538,0.806,9.47,1017.304,5.472
144,2,0.43716,0,0.02063,0.04103,0.02332,0.01308,0.00069,0.00419,0.0017,0.00346,66.99733,0.83867,8.988,1017.32267,5.452
144,3,0.51151,0,0.02062,0.04101,0.05836,0.01306,0.0006,0.00416,0.00169,0.00345,65.91067,0.85467,8.554,1017.29067,5.10933
144,4,0.73618,0,0.02046,0.04011,0.06652,0.01303,0.0006,0.00414,0.18328,0.00263,65.055,0.87,8.23,1017.36,4.17
144,5,0.83803,0,0.02017,0.05111,0.02736,0.01288,0.00062,0.00411,0.3279,0.00796,64.59933,0.88,8.02867,1017.62133,2.612
144,6,0.81412,0,0.01999,0.03911,0.08023,0.01279,0.00047,0.02224,0.32697,0.03345,64.35567,0.89133,7.29967,1018.09167,2.63467
144,7,0.50753,1e-05,0.02018,0.05045,0.00883,0.01289,0.00064,0.004,0.20098,0.07746,65.802,0.87,7.716,1018.63,3.86
144,8,0.42261,1e-05,0.05153,0.039,0.08792,0.01288,0.00055,0.01839,0.00152,0.2622,68.35733,0.82467,8.68733,1018.98833,3.62267
144,9,0.3334,0,0.02012,0.03899,0.04082,0.0128,0.00067,0.00398,0.00146,0.35118,71.46333,0.77,9.41333,1019.06,3.44667
144,10,0.18475,1e-05,0.02001,0.03904,0.04895,0.01283,0.00061,0.00401,0.04446,0.39122,75.744,0.708,9.761,1019.008,3.079
144,11,0.64427,1e-05,0.04686,0.03916,0.0689,0.0236,0.00054,0.00412,0.28098,0.42309,80.31933,0.63133,9.8,1019.00467,2.70667
144,12,0.16426,1e-05,0.02009,0.03916,0.05448,0.01536,0.00057,0.0041,0.00147,0.3458,84.204,0.54867,9.892,1018.83367,3.65967
144,13,0.19338,1e-05,0.02009,0.03912,0.05863,0.01503,0.0006,0.03436,0.0015,0.30716,87.47,0.482,9.984,1018.444,5.658
144,14,0.36943,1e-05,0.0201,0.09486,0.07712,0.01551,0.00056,0.00408,0.00151,0.21431,89.355,0.43667,10,1017.94333,6.72167
144,15,0.28117,1e-05,0.01975,0.10988,0.0221,0.01901,0.00067,0.00407,0.00148,0.14366,90.25133,0.42133,10,1017.53933,7.344
144,16,0.50006,1e-05,0.02009,0.06423,0.09493,0.0318,0.00052,0.00398,0.00136,0.08717,89.792,0.429,10,1017.211,5.836
144,17,0.75007,1e-05,0.06281,0.04389,0.01571,0.02785,0.00058,0.00398,0.13583,0.00941,88.75,0.458,10,1017.18,4.88533
144,18,0.64873,1e-05,0.02025,0.04287,0.08398,0.01282,0.0005,0.00399,0.14322,0.00516,87.80033,0.489,10,1017.24767,6.49267
144,19,0.91825,1e-05,0.01997,0.04419,0.06186,0.01274,0.00042,0.00409,0.03225,0.00301,85.63133,0.52267,10,1017.6,5.65333
144,20,1.457,1e-05,0.02001,0.29066,0.04577,0.01299,0.0005,0.00406,0.00128,0.00294,81.32733,0.60467,9.99133,1017.93,7.168
144,21,0.94516,1e-05,0.02049,0.41528,0.09133,0.01301,0.00054,0.00399,0.00161,0.00331,77.068,0.676,9.883,1018.544,6.553
144,22,1.42743,0.59613,0.05143,0.03783,0.01588,0.01232,0.00069,0.0043,0.00135,0.00323,74.10333,0.734,10,1019.03267,4.994
144,23,1.01853,0.50859,0.01962,0.02944,0.08092,0.01247,0.00063,0.00415,0.00171,0.00355,72.22833,0.76333,10,1019.09,4.60333
145,0,0.45191,0.0009,0.02054,0.0293,0.05556,0.01305,0.00063,0.00414,0.00169,0.00352,70.624,0.786,9.94,1019.322,4.326
145,1,0.40512,0.00026,0.02057,0.0293,0.03622,0.01309,0.00067,0.00417,0.00172,0.00352,69.33433,0.81467,9.59733,1019.443,3.54933
145,2,0.85064,0.00016,0.02057,0.02933,0.0997,0.01306,0.00051,0.00441,0.00147,0.00318,67.97,0.838,9.13467,1019.396,3.034
145,3,0.44934,0,0.02059,0.02934,0.00658,0.01847,0.00071,0.00419,0.001,0.00345,66.5,0.869,8.304,1019.318,2.806
145,4,0.43269,0,0.02048,0.029,0.0876,0.01305,0.00055,0.00405,0.00094,0.00324,65.28,0.89,6.79,1019.31667,2.24333
145,5,0.35605,0,0.02039,0.02899,0.03986,0.01301,0.00065,0.004,0.001,0.00313,65.15333,0.89367,6.30867,1019.53133,3.788
145,6,0.36594,1e-05,0.02014,0.0279,0.04921,0.01289,0.00062,0.004,0.001,0.0071,66.676,0.872,7.426,1019.93,3.758
145,7,0.35995,1e-05,0.02039,0.02732,0.07966,0.01299,0.00056,0.004,0.001,0.07304,70.005,0.79533,8.744,1020.292,3.963
145,8,0.37701,0,0.0204,0.02736,0.00708,0.01291,0.00073,0.004,0.001,0.06184,72.838,0.736,9.206,1020.55333,3.89
145,9,0.38515,1e-05,0.02033,0.02728,0.08049,0.01296,0.00057,0.00399,0.00096,0.04012,75.48,0.705,9.25,1020.52,4.49
145,10,0.27859,1e-05,0.02031,0.02738,0.04285,0.01293,0.00064,0.00409,0.00098,0.14226,77.482,0.67933,9.422,1020.43333,5.538
145,11,0.27893,1e-05,0.02027,0.02735,0.04343,0.01291,0.00064,0.00411,0.00099,0.11613,79.262,0.64733,9.71833,1020.189,4.50267
145,12,0.34199,1e-05,0.02028,0.02732,0.0805,0.01294,0.00055,0.00409,0.00099,0.07185,80.96,0.612,9.894,1019.684,3.624
145,13,0.25419,1e-05,0.02027,0.02735,0.00526,0.01296,0.00073,0.00409,0.00094,0.05129,82.19767,0.58733,9.94167,1019.175,5.26567
145,14,0.3072,1e-05,0.0204,0.02734,0.08112,0.01302,0.00056,0.00395,0.0009,0.10808,81.59,0.59333,9.73333,1018.89667,4.55
145,15,0.29436,1e-05,0.02046,0.02737,0.04727,0.01302,0.00064,0.004,0.00099,0.12171,79.851,0.614,9.382,1018.7,3.687
145,16,0.37747,0,0.02037,0.02739,0.03961,0.0129,0.00067,0.004,0.00098,0.09837,78.30067,0.62,9.35333,1018.36867,4.12867
145,17,0.42259,1e-05,0.02026,0.02734,0.08232,0.0129,0.00057,0.004,0.00098,0.03898,76.42733,0.62,9.45667,1017.994,4.11067
145,18,0.37459,1e-05,0.01999,0.0275,0.00792,0.01275,0.00072,0.00397,0.00097,0.00529,73.882,0.652,9.312,1018.374,3.626
145,19,0.54069,0,0.02009,0.02899,0.12437,0.01283,0.00046,0.00392,0.00084,0.00344,70.80167,0.71833,9.20333,1018.78167,3.78667
145,20,0.49544,0,0.02026,0.02922,0.14144,0.01294,0.0005,0.00412,0.00098,0.00349,68.64333,0.76467,9.32,1018.84867,3.12933
145,21,0.60181,0,0.02051,0.02925,0.23443,0.01307,0.00055,0.00419,0.00099,0.00349,67.148,0.788,9.502,1019.021,3.488
145,22,0.36669,0,0.02066,0.02934,0.034,0.01316,0.00067,0.00417,0.00099,0.00349,66.394,0.79933,9.296,1018.592,3.232
145,23,0.33595,0,0.02053,0.0293,0.01035,0.01308,0.00072,0.00409,0.00092,0.00354,65.52833,0.81933,8.71933,1018.27967,2.833
146,0,0.41888,0,0.02061,0.02931,0.08479,0.01312,0.00056,0.00393,0.00082,0.00353,65.30667,0.832,8.47533,1017.67333,2.636
146,1,0.39262,0,0.02066,0.02932,0.03284,0.01312,0.00068,0.00399,0.00096,0.00322,64.266,0.892,8.22667,1017.152,2.15
146,2,0.50519,0,0.02075,0.02934,0.05001,0.01308,0.00065,0.004,0.00099,0.00318,63.192,0.921,6.436,1016.583,1.136
146,3,0.428,0,0.02069,0.02931,0.07083,0.01315,0.00059,0.004,0.00099,0.00315,62.826,0.93,4.80267,1016.19133,2.03667
146,4,0.3126,0,0.02062,0.02834,0.01141,0.01312,0.00072,0.004,0.00098,0.00218,62.61,0.93167,5.98167,1015.80667,1.715
146,5,0.46736,0,0.02059,0.02736,0.07393,0.01304,0.00059,0.00396,0.00086,0.00944,62.344,0.94,5.184,1015.752,1.57
146,6,0.31957,1e-05,0.02013,0.02727,0.03764,0.01289,0.00064,0.00402,0.00092,0.03867,62.62,0.93767,4.991,1015.607,0.777
146,7,0.27014,1e-05,0.02026,0.02735,0.03187,0.01296,0.00066,0.00413,0.00098,0.07091,63.448,0.92467,5.73667,1015.62733,1.69867
146,8,0.15657,1e-05,0.02033,0.02737,0.07847,0.013,0.00055,0.00414,0.00099,0.25969,64.955,0.907,6.297,1015.563,1.595
146,9,0.04454,1e-05,0.02038,0.0274,0.0138,0.01302,0.00069,0.00414,0.00099,0.36096,66.99667,0.88333,8.01,1015.29333,1.95
146,10,0.06609,1e-05,0.02031,0.02738,0.06685,0.013,0.00057,0.00402,0.00091,0.39177,69.48867,0.839,8.815,1014.79633,3.42
146,11,0.08752,1e-05,0.03911,0.02739,0.05727,0.01291,0.00061,0.004,0.00097,0.41445,71.902,0.796,9.46,1014.134,5.55
146,12,0.0568,0,0.02034,0.02743,0.02427,0.01292,0.00068,0.004,0.00099,0.40445,74.76067,0.734,10,1013.55533,7.346
146,13,0.07313,1e-05,0.02029,0.02739,0.07708,0.01299,0.00056,0.004,0.00099,0.38113,77.11,0.68133,10,1013.05067,7.38467
146,14,0.17208,0,0.02018,0.02735,0.02619,0.01285,0.00069,0.00399,0.00099,0.22076,78.43,0.65,10,1012.54,8.03
146,15,0.17816,1e-05,0.02013,0.02731,0.05966,0.0129,0.0006,0.00399,0.00099,0.18219,78.82733,0.64533,10,1012.184,9.55
146,16,0.32854,1e-05,0.02004,0.02725,0.07056,0.01286,0.00059,0.00398,0.00098,0.03534,78.42,0.66133,10,1011.99033,10.56933
146,17,0.26654,1e-05,0.02012,0.02732,0.01826,0.01291,0.0007,0.00397,0.00094,0.02949,76.836,0.694,10,1011.966,10.37
146,18,0.47905,0,0.0201,0.02751,0.10822,0.01281,0.00053,0.00395,0.00092,0.00787,73.91833,0.77333,9.44267,1012.45767,9.521
146,19,0.46149,0,0.01995,0.029,0.11686,0.01278,0.0005,0.0039,0.00081,0.00361,71.71667,0.83,9.70667,1013.16667,7.26667
146,20,0.65831,0,0.02006,0.02922,0.22032,0.01277,0.00055,0.00398,0.00087,0.00367,70.607,0.826,9.937,1013.52,7.36
146,21,0.33573,0,0.02023,0.02929,0.03938,0.01296,0.00066,0.00399,0.00085,0.00371,69.16667,0.85667,9.888,1013.19133,6.63667
146,22,0.35805,0,0.02043,0.02932,0.0051,0.013,0.00074,0.00401,0.00086,0.00369,67.92733,0.893,8.79133,1012.958,6.29433
146,23,0.38898,0,0.02059,0.02931,0.09954,0.01315,0.00056,0.00411,0.0009,0.00366,67.384,0.908,8.492,1012.754,6.44
147,0,0.30268,0,0.0207,0.02935,0.01517,0.01321,0.00073,0.00392,0.00078,0.00372,66.91833,0.91833,8.58333,1012.51833,5.72
147,1,0.38082,0,0.02075,0.02932,0.0775,0.01323,0.0006,0.00392,0.00081,0.00362,66.30267,0.92867,7.38667,1012.74867,4.38267
147,2,0.35558,0,0.02057,0.02931,0.05667,0.01314,0.00063,0.00393,0.00087,0.00346,65.194,0.948,6.201,1012.772,4.02
147,3,0.39474,0,0.02058,0.02933,0.03158,0.01308,0.0007,0.00398,0.00093,0.00333,64.464,0.93133,5.26867,1012.91933,3.31867
147,4,0.45539,0,0.02051,0.02824,0.08317,0.01301,0.00058,0.00395,0.00087,0.00384,63.608,0.93967,7.14333,1013.22,1.936
147,5,0.27864,1e-05,0.02027,0.02729,0.01212,0.01297,0.00072,0.00399,0.00086,0.01817,66.23867,0.86433,9.69067,1013.80267,3.799
147,6,0.38609,1e-05,0.02022,0.02727,0.07393,0.01289,0.00059,0.00408,0.00097,0.04634,69.862,0.69067,10,1014.18667,5.06
147,7,0.30075,1e-05,0.02014,0.02733,0.05709,0.01923,0.00061,0.00409,0.00098,0.0773,72.621,0.553,10,1014.39,6.943
147,8,0.17454,1e-05,0.02017,0.02736,0.02979,0.01294,0.00068,0.00413,0.00098,0.23564,74.81733,0.482,10,1014.08667,7.59533
147,9,0.09672,1e-05,0.02011,0.02733,0.08135,0.0129,0.00056,0.00401,0.00088,0.30673,77.11667,0.42167,10,1013.81833,8.32667
147,10,0.06885,1e-05,0.01999,0.02734,0.02338,0.01279,0.00068,0.00391,0.00088,0.34826,79.23,0.374,10,1013.476,9.37
147,11,0.23748,0,0.02008,0.02737,0.06507,0.01278,0.00061,0.00392,0.00086,0.32703,80.651,0.343,10,1013.03733,10.605
147,12,0.13657,1e-05,0.01998,0.0273,0.06586,0.01281,0.00058,0.00395,0.00087,0.29171,81.97867,0.32,10,1012.59867,11.96267
147,13,0.19023,1e-05,0.01992,0.02729,0.02461,0.01272,0.00069,0.00406,0.00096,0.1961,82.997,0.32,10,1012.236,10.23
147,14,0.27604,1e-05,0.01986,0.02728,0.08707,0.01275,0.00055,0.00406,0.00097,0.21338,83.19333,0.32,10,1012.02333,10.15333
147,15,0.21876,1e-05,0.01982,0.02729,0.02398,0.01267,0.00068,0.00402,0.00096,0.15152,82.85733,0.32733,10,1011.99367,9.85167
147,16,0.37786,1e-05,0.03926,0.02725,0.07302,0.01265,0.00059,0.00402,0.00095,0.07514,81.592,0.352,10,1012.184,8.018
147,17,0.43106,1e-05,0.01992,0.02721,0.06619,0.01278,0.00061,0.00399,0.00089,0.02706,78.892,0.39167,10,1012.72,6.129
147,18,0.37373,0,0.01981,0.02751,0.03266,0.01267,0.00068,0.00389,0.00083,0.01338,74.594,0.45267,10,1013.43333,5.29733
147,19,0.41651,0,0.01951,0.02891,0.09394,0.01253,0.00053,0.00382,0.00078,0.00367,70.455,0.525,10,1014.3,5.085
147,20,0.43579,0,0.01956,0.02923,0.01726,0.01256,0.0007,0.00381,0.00077,0.00373,66.45467,0.61867,10,1014.884,3.42733
147,21,0.38723,0,0.0203,0.02932,0.08254,0.013,0.00059,0.0039,0.00079,0.00371,62.907,0.69267,10,1015.16867,2.44167
147,22,0.35986,0,0.02053,0.02932,0.05981,0.01312,0.00064,0.00396,0.00091,0.00349,60.424,0.728,10,1015.434,2.53
147,23,0.33145,0,0.02043,0.02928,0.03757,0.01307,0.00069,0.00397,0.00095,0.00337,58.04533,0.77167,9.91767,1015.76433,1.252
148,0,0.59353,0,0.02041,0.02928,0.09411,0.01296,0.00059,0.004,0.00097,0.00331,56.19333,0.81667,9.93,1016.18,2.35
148,1,0.38386,0,0.02038,0.02931,0.01281,0.01296,0.00074,0.004,0.00098,0.00329,54.412,0.844,9.771,1016.705,3.03
148,2,0.43701,0,0.02048,0.0293,0.08511,0.01305,0.00059,0.004,0.00099,0.00327,53.42733,0.85,9.668,1017.25133,2.82267
148,3,0.47713,0,0.02049,0.02929,0.05633,0.01306,0.00065,0.004,0.001,0.00324,53.638,0.85,9.92067,1018.14133,6.82033
148,4,0.39919,0,0.02043,0.02889,0.0407,0.01299,0.00068,0.00399,0.00099,0.00271,57.774,0.778,9.968,1018.778,5.458
148,5,0.37337,1e-05,0.01993,0.02736,0.09047,0.0128,0.00055,0.0039,0.00088,0.01159,63.53833,0.66833,9.99333,1019.44667,6.11
148,6,0.31743,1e-05,0.01999,0.02723,0.01404,0.01283,0.00072,0.00397,0.00088,0.06082,68.832,0.58067,10,1019.898,7.384
148,7,0.29444,1e-05,0.02032,0.02729,0.08186,0.013,0.00058,0.00414,0.00098,0.06948,72.461,0.525,10,1020.139,6.46
148,8,0.17196,1e-05,0.02033,0.02732,0.0579,0.013,0.00063,0.00412,0.00097,0.1785,75.07667,0.492,10,1020.3,6.57333
148,9,0.2696,1e-05,0.02025,0.02735,0.03803,0.01286,0.00067,0.00411,0.00099,0.25723,77.502,0.44167,10,1020.00067,6.83167
148,10,0.3594,0,0.02027,0.02732,0.0909,0.01287,0.00057,0.0041,0.00099,0.14205,79.37033,0.409,10,1019.65667,7.21833
148,11,0.09445,1e-05,0.01991,0.02727,0.01907,0.01276,0.00069,0.00408,0.00099,0.24715,80.54867,0.38067,10,1019.26733,6.026
148,12,0.28108,0,0.01983,0.02724,0.07744,0.01268,0.00058,0.00406,0.00099,0.24235,80.665,0.389,10,1019.223,6.361
148,13,0.24109,0,0.02005,0.02728,0.05813,0.01278,0.00063,0.0041,0.00099,0.20853,80.564,0.384,10,1019.16267,7.356
148,14,0.18748,1e-05,0.02025,0.02732,0.04337,0.01292,0.00066,0.00397,0.00089,0.15639,79.89,0.415,9.98667,1019.15167,7.36333
